1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,2,1
8,2,7
9,2,8
10,2,9
11,2,10
12,2,3
13,2,11
14,3,4
15,3,3
16,3,12
17,3,1
18,3,13
19,3,14
20,3,15
21,3,16
22,4,17
23,4,18
24,4,9
25,4,19
26,4,20
27,4,3
28,4,21
29,5,18
30,5,9
31,5,14
32,5,4
33,5,22
34,5,19
35,5,23
36,5,24
37,5,25
38,6,26
39,6,27
40,6,28
41,6,29
42,6,30
43,6,19
45,6,32
46,6,33
47,7,14
48,7,8
49,7,9
50,7,22
51,7,18
52,7,34
53,7,35
54,7,36
55,8,4
56,8,10
57,8,3
58,8,35
59,8,37
60,8,38
61,8,9
62,8,39
63,9,3
64,9,1
65,9,37
66,9,4
67,9,8
68,9,5
69,9,40
70,9,34
71,10,9
72,10,28
73,10,19
74,10,14
75,11,41
76,11,42
77,11,43
78,11,9
79,11,19
80,11,36
81,11,44
82,11,45
83,11,46
84,11,47
85,12,4
86,12,5
87,12,18
88,12,48
89,12,49
90,12,9
91,12,50
92,12,36
93,13,51
94,13,52
95,13,53
96,13,54
97,13,9
98,13,55
99,13,36
100,13,56
101,13,28
102,14,14
103,14,33
104,14,36
105,15,9
106,15,57
107,15,18
108,15,1
109,15,3
110,15,58
111,15,59
112,16,60
113,16,9
114,16,61
115,16,62
116,16,63
117,16,64
118,17,65
119,17,34
120,17,66
121,17,54
122,17,10
123,17,9
124,17,4
125,17,67
126,18,18
127,18,4
128,18,1
129,18,14
130,18,65
131,18,68
132,18,34
133,19,66
134,19,10
135,19,69
136,19,9
137,19,70
138,19,71
139,19,72
140,19,24
141,19,33
142,19,36
143,20,8
144,20,9
145,20,3
146,20,1
147,20,4
148,20,18
149,20,14
150,21,9
151,21,73
152,21,7
153,21,10
154,21,18
155,21,4
156,21,3
157,22,74
158,22,3
159,22,1
160,22,8
161,22,5
162,22,9
163,22,75
164,22,14
165,22,76
166,22,36
167,23,1
168,23,7
169,23,3
